Customer segment,Year,Seasonal,Weekday Name,Sales Price,Comp Price,MRP,COG,inflation rate,Demand Score,discount rate,Inventory levels,Govt regulations,Expiry days
2,2014,1,Thursday,12.94,14.03,16.21,6.08,1.6,2,11,260,19.6,43
3,2014,1,Friday,8.61,9.1,10.38,4.03,1.6,0.03,17,260,19.6,81
3,2014,1,Saturday,10.58,9.71,13.09,4.78,1.6,9.27,12,252,19.6,84
3,2014,1,Sunday,10.3,9.83,12.44,6.13,1.6,3.85,8,250,19.6,48
3,2014,1,Monday,10.29,9.82,12.06,4.74,1.6,3.5,5,246,19.6,64
1,2014,1,Tuesday,11.42,11.3,14.48,6.79,1.6,4.31,14,241,19.6,63
3,2014,1,Wednesday,13.15,13.33,15.88,5.43,1.6,1.78,11,241,19.6,57
1,2014,1,Thursday,9.91,10.46,11.61,5.91,1.6,4,6,235.67,19.6,33
2,2014,1,Friday,11.05,11.38,13.4,5.15,1.6,6.24,16,228.67,19.6,46
2,2014,1,Saturday,10.82,10.1,13.65,5.25,1.6,4.36,7,223.67,19.6,33
1,2014,1,Sunday,11.76,12.21,14.61,5.35,1.6,3.55,5,218.67,19.6,45
2,2014,1,Monday,8.98,8.85,11.45,4.22,1.6,2.47,16,216.67,19.6,69
2,2014,1,Tuesday,12.59,12.51,15.96,6.22,1.6,9.19,6,209.33,19.6,31
1,2014,1,Wednesday,10.05,9.6,11.78,4.98,1.6,3.01,8,203.33,19.6,49
3,2014,1,Thursday,9.2,9.97,10.99,5.4,1.6,2.32,19,199.33,19.6,69
1,2014,1,Friday,11.08,11.3,13.12,4.61,1.6,5.96,9,193.33,19.6,74
2,2014,1,Saturday,10.99,9.98,13.2,5,1.6,3.31,15,191.33,19.6,74
1,2014,1,Sunday,9,9.5,10.35,3.97,1.6,1.58,16,190.33,19.6,70
2,2014,1,Monday,12.09,12.16,14.05,4.89,1.6,0.07,7,186,19.6,34
2,2014,1,Tuesday,11.06,10.93,13.87,4.68,1.6,4.4,15,180,19.6,74
3,2014,1,Wednesday,9.06,9.34,11.77,5.03,1.6,0.15,18,178,19.6,89
2,2014,1,Thursday,12.67,11.74,14.77,6.9,1.6,1.68,11,171,19.6,36
1,2014,1,Friday,10.11,9.27,12.9,5.96,1.6,0.49,17,167,19.6,86
2,2014,1,Saturday,9.11,9.39,11.65,5.03,1.6,1.08,8,162.33,19.6,59
3,2014,1,Sunday,13.09,13.75,16.14,7.73,1.6,7.14,12,156.33,19.6,76
1,2014,1,Monday,8.77,9.23,10.98,4.53,1.6,3.75,13,152,19.6,56
2,2014,1,Tuesday,11.53,12.56,13.46,4.92,1.6,0.3,9,147.66,19.6,37
2,2014,1,Wednesday,12.71,12.07,16.38,5.54,1.6,0.9,10,141.66,19.6,75
3,2014,1,Thursday,12.69,13.67,16.43,7.1,1.6,3.26,10,136.33,19.6,40
2,2014,1,Friday,11.75,11.1,15.24,5.74,1.6,2.05,8,133.31,19.6,55
1,2014,2,Saturday,7.95,7.49,9.4,3.64,1.1,1.24,16,132.31,19.6,55
2,2014,2,Sunday,8.17,8.18,10.33,4.7,1.1,3.38,13,127.98,19.6,76
3,2014,2,Monday,7.47,7.18,9.17,4.11,1.1,1.33,17,120.98,19.6,54
3,2014,2,Tuesday,7.97,7.19,9.53,3.92,1.1,6.01,7,115.98,19.6,66
2,2014,2,Wednesday,9.97,10.94,12.62,4.28,1.1,0.85,12,114.65,19.6,33
2,2014,2,Thursday,9.41,9.94,11.21,5.16,1.1,4.13,13,111.65,19.6,57
2,2014,2,Friday,8.19,8.5,10.29,3.32,1.1,4.52,15,108.32,19.6,50
1,2014,2,Saturday,6.31,6.73,7.28,3.1,1.1,1.59,18,105.66,19.6,59
2,2014,2,Sunday,8.38,8.76,10.06,4.16,1.1,4.53,18,102.33,19.6,42
1,2014,2,Monday,9.32,8.59,11.14,4.54,1.1,1.39,7,98.33,19.6,69
1,2014,2,Tuesday,8.97,8.51,10.95,4.86,1.1,4.39,6,93.33,19.6,55
1,2014,2,Wednesday,7.14,7.43,8.62,4.26,1.1,10.68,18,83.33,19.6,44
3,2014,2,Thursday,7.57,7,9.78,3.94,1.1,10.29,18,74.33,19.6,55
1,2014,2,Friday,8.09,7.51,9.65,4.33,1.1,4.65,18,70,19.6,59
2,2014,2,Saturday,9.84,10.08,11.64,4.5,1.1,2.65,19,66,19.6,38
3,2014,2,Sunday,9.28,8.57,11.09,4.32,1.1,0.8,8,65,19.6,72
1,2014,2,Monday,6.25,5.65,8.07,2.74,1.1,1.79,6,65,19.6,70
1,2014,2,Tuesday,7.39,7.36,9,3.09,1.1,5.35,14,57.66,19.6,34
3,2014,2,Wednesday,6.35,6.61,8.02,2.97,1.1,1.61,19,50.32,19.6,49
3,2014,2,Thursday,8.01,8.31,9.68,4.52,1.1,3.97,11,46.99,19.6,73
1,2014,2,Friday,9.1,8.54,10.63,4.4,1.1,0.68,5,39.99,19.6,70
3,2014,2,Saturday,8.93,9.11,11.55,4.25,1.1,0.96,8,33.99,19.6,33
3,2014,2,Sunday,6.5,6.59,7.51,3.6,1.1,1.93,9,274,19.6,90
3,2014,2,Monday,8.8,9.09,10.8,4.66,1.1,2.95,6,273,19.6,31
2,2014,2,Tuesday,7.25,6.88,8.41,3.98,1.1,4.24,14,266,19.6,37
1,2014,2,Wednesday,9.57,9.86,11.76,4.58,1.1,6.9,5,261,19.6,36
3,2014,2,Thursday,7.8,7.95,10.09,4.65,1.1,6.85,6,256,19.6,60
1,2014,2,Friday,9.24,9.61,11,4.95,1.1,0.86,19,253,19.6,44
3,2014,3,Saturday,12.26,12.77,14.97,7.18,1.5,1.22,6,246,19.6,56
1,2014,3,Sunday,13.98,12.78,16.34,7.01,1.5,5.46,18,239.66,19.6,88
1,2014,3,Monday,11.62,11.07,14.99,6.97,1.5,0.35,18,236.32,19.6,51
3,2014,3,Tuesday,10.62,10.38,13.77,5.18,1.5,3.49,17,232.32,19.6,90
1,2014,3,Wednesday,12.43,11.61,15.74,6.37,1.5,2.47,15,226.98,19.6,79
2,2014,3,Thursday,13.1,12.84,16.77,6.82,1.5,0.31,12,223.64,19.6,64
2,2014,3,Friday,9.11,8.41,10.6,4.98,1.5,4.1,16,220.64,19.6,36
2,2014,3,Saturday,11.78,11.82,14.6,5.78,1.5,5.5,18,216.64,19.6,34
1,2014,3,Sunday,9.6,10.43,12.17,4.96,1.5,3.84,6,212.3,19.6,75
3,2014,3,Monday,8.73,8.21,10.96,3.82,1.5,0.67,8,211.3,19.6,54
1,2014,3,Tuesday,12.39,12.84,15.31,4.97,1.5,5.73,17,204.62,19.6,44
1,2014,3,Wednesday,13.2,13.39,15.23,7.29,1.5,0.25,19,198.62,19.6,34
2,2014,3,Thursday,11.48,10.35,14.04,5.67,1.5,1.06,10,192.28,19.6,68
2,2014,3,Friday,13.26,14.25,16.02,7.11,1.5,0.53,7,189.97,19.6,65
2,2014,3,Saturday,11.15,11.61,12.84,5.43,1.5,5.18,8,185.63,19.6,61
3,2014,3,Sunday,9.61,9.65,12.47,5.38,1.5,4.51,13,181.63,19.6,73
1,2014,3,Monday,11.46,11.71,14.2,5.87,1.5,1.3,15,178.95,19.6,60
2,2014,3,Tuesday,10.19,9.87,13.01,5.9,1.5,2.77,9,170.27,19.6,73
3,2014,3,Wednesday,11.93,11.38,14.42,5.9,1.5,1.38,16,162.27,19.6,37
2,2014,3,Thursday,9.84,10.49,12.68,5.36,1.5,1.26,19,158.27,19.6,44
1,2014,3,Friday,14.21,14.43,17.15,6,1.5,3.71,7,155.27,19.6,52
3,2014,3,Saturday,9.63,8.77,11.83,4.98,1.5,3.8,8,149.27,19.6,88
2,2014,3,Sunday,12.62,12.5,16.14,5.43,1.5,0.25,13,145.93,19.6,53
1,2014,3,Monday,13.71,13.25,16.74,6.67,1.5,5.32,6,139.59,19.6,50
1,2014,3,Tuesday,13.84,13.02,16.11,6.82,1.5,3.75,13,133.91,19.6,51
1,2014,3,Wednesday,8.69,8.55,10.31,4.45,1.5,0.2,11,129.91,19.6,67
1,2014,3,Thursday,11.95,12.99,14.95,6.81,1.5,3.59,13,127.57,19.6,48
3,2014,3,Friday,13.43,14.01,17.18,5.59,1.5,3.12,8,123.57,19.6,47
2,2014,3,Saturday,14.01,15.21,17.1,8.32,1.5,3.91,16,120.9,19.6,43
2,2014,3,Sunday,8.9,9.1,11.53,4.46,1.5,1.04,15,116.9,19.6,72
1,2014,3,Monday,9.81,9.87,12.62,5.49,1.5,1.2,15,113.9,19.6,69
2,2014,4,Tuesday,12.12,13.2,15.16,6.93,2,4.15,19,108.56,19.6,70
1,2014,4,Wednesday,9.79,9.13,12.42,4.66,2,3.99,10,104.22,19.6,31
3,2014,4,Thursday,14.55,14.32,17.97,7.62,2,2.43,11,102.22,19.6,67
1,2014,4,Friday,15.57,17,18.39,7.71,2,2.59,6,101.22,19.6,33
1,2014,4,Saturday,12.41,13.42,15.95,7.09,2,4,13,98.22,19.6,76
1,2014,4,Sunday,11.44,12.25,14.39,6.53,2,2.6,7,96.22,19.6,52
